Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.048059639059982,-0.000176855083090535,0.0853792083332119,0,0,0,0.00381058713000256,1.4011528054381E-05,-5.63041081221308E-08,-5.60968272384654E-07,1.83162090507386E-05,-2.3440711913555E-08,1.54921190219079E-05,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/base_link.STL,,MZ04_01_15-1,Coordinate1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0201766430665271,0.00197384328674996,0.0868741975081251,0,0,0,0.00325544255722516,2.19167847798549E-05,-1.21834156658267E-07,-1.87014118597637E-06,1.5328557192009E-05,-5.59294244708165E-07,1.48800100501736E-05,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link1.STL,1,0,0,1,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link1.STL,,MZ04_01_13-1,Coordinate2,axis2,joint1,revolute,0,0,0.171,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link2,0.0578918917906156,0.122121661673645,0.0335367438056427,0,0,0,0.00359270885917347,3.22880042066524E-05,-1.2018682083305E-05,5.95518814050645E-07,2.28399200357069E-05,1.02112693465955E-06,3.28542600782481E-05,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link2.STL,1,0,0,1,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link2.STL,,MZ04_01_11-1,Coordinate3,axis3,joint2,revolute,1.2477E-05,0.0325,0.16898,1.5708,-0.60586,0,link1,0,0,1,0,0,0,0,,,,,,,,
link3,0.00081078556084058,0.00664411843342616,0.0553839020686011,0,0,0,0.00164861654827995,2.89783392454476E-06,-3.41224723643103E-07,-1.56817964248299E-08,4.39751099308564E-06,1.6789707648492E-08,5.3056682037658E-06,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link3.STL,1,0,0,1,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link3.STL,,MZ04_01_9-1,Coordinate4,axis4,joint3,revolute,0.14806,0.21374,-0.021,0,0,-0.60586,link2,0,0,-1,0,0,0,0,,,,,,,,
link4,-0.00318488306466791,0.00029076232377761,0.094340738901394,0,0,0,0.00166791950450754,7.99851518615988E-06,-2.44675263409758E-09,-8.35907219624056E-08,6.56165263832577E-06,-5.25237082166127E-08,3.34892205052784E-06,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link4.STL,1,0,0,1,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link4.STL,,MZ04_01_7-1,Coordinate5,axis5,joint4,revolute,0.081,0.025,0.0535,-1.5708,0,-1.5708,link3,0,0,1,0,0,0,0,,,,,,,,
link5,0.0210226814236891,-6.12036210598799E-05,0.0403375337221522,0,0,0,0.000320080590682621,2.94357690385434E-07,2.43757271244615E-10,1.23391485355083E-08,3.99318809853508E-07,-5.41118474169632E-10,3.40536031120552E-07,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link5.STL,1,0,0,1,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link5.STL,,MZ04_01_5-1,Coordinate6,axis6,joint5,revolute,0,0.0385,0.199,1.5708,-1.5708,0,link4,0,0,1,0,0,0,0,,,,,,,,
link6,-4.02147946054754E-08,0.0175245692630258,0.0466215341564153,0,0,0,0.174925517224803,8.2809202902915E-05,-3.89782509662843E-08,1.10306798662073E-08,0.000151526904297919,1.03160248233344E-06,0.00011786490479397,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link6.STL,1,0,0,1,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link6.STL,,MZ04_01_3-1;camera-1,coordinate7,axis7,joint6,revolute,0.072,0,0.0385,-1.5708,0,-1.5708,link5,0,0,-1,0,0,0,0,,,,,,,,
link7,0.0150495033160241,-0.00500000000000023,-0.00628899515390938,0,0,0,0.00564730594255384,1.38424828450493E-07,5.62559258762205E-22,-6.57057978917934E-08,6.94948616530377E-07,8.06824507932419E-23,6.59668421181749E-07,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link7.STL,,jaw-2,coordinate8,axis8,joint7,prismatic,-0.005,-0.02635,0.08764,1.5708,-1.5708,0,link6,0,0,1,0,0,0,0,,,,,,,,
link8,0.0150495033160243,-0.00500000000000023,0.00628899515390939,0,0,0,0.00564730594255383,1.38424828450493E-07,-2.686593512627E-22,6.57057978917932E-08,6.94948616530376E-07,1.06939829064073E-22,6.59668421181747E-07,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://MZ04_with_jaw/meshes/link8.STL,,jaw-3,coordinate9,axis9,joint8,prismatic,-0.005,0.02635,0.08764,1.5708,-1.5708,0,link6,0,0,-1,0,0,0,0,,,,,,,,
